event_date,paying_users,active_users,conversion_rate,Title
"October 1, 2023",36,1371,26.258205689278,
"October 2, 2023",37,1794,20.624303232999,
"October 3, 2023",50,2417,20.686801820439,
"October 4, 2023",78,3082,25.308241401687,
"October 5, 2023",92,3803,24.191427820142,
"October 6, 2023",101,4747,21.276595744681,
"October 7, 2023",106,5220,20.306513409962,
"October 8, 2023",128,4984,25.682182985554,
"October 9, 2023",111,5187,21.399652978600,
"October 10, 2023",90,5302,16.974726518295,
"October 11, 2023",109,5144,21.189735614308,
"October 12, 2023",117,5390,21.706864564007,
"October 13, 2023",118,5341,22.093240966111,
"October 14, 2023",112,5849,19.148572405539,
"October 15, 2023",134,6064,22.097625329815,
"October 16, 2023",126,5585,22.560429722471,
"October 17, 2023",123,5638,21.816246896062,
"October 18, 2023",111,5761,19.267488283284,
"October 19, 2023",117,6162,18.987341772152,
"October 20, 2023",141,6356,22.183763373191,
"October 21, 2023",140,6845,20.452885317750,
"October 22, 2023",127,7212,17.609539656129,
"October 23, 2023",116,6483,17.892950794385,
"October 24, 2023",102,6288,16.221374045802,
"October 25, 2023",95,5642,16.838000708968,
"October 26, 2023",92,5433,16.933554205779,
"October 27, 2023",112,5502,20.356234096692,
"October 28, 2023",112,5464,20.497803806735,
"October 29, 2023",84,5384,15.601783060921,
"October 30, 2023",129,5087,25.358757617456,
"October 31, 2023",123,4889,25.158519124565,
"November 1, 2023",114,4913,23.203745165886,
"November 2, 2023",115,5159,22.291141694127,
"November 3, 2023",120,5806,20.668274199104,
"November 4, 2023",110,6260,17.571884984026,
"November 5, 2023",106,5986,17.707985299031,
"November 6, 2023",132,5120,25.78125,
"November 7, 2023",93,4940,18.825910931174,
"November 8, 2023",114,4769,23.904382470120,
"November 9, 2023",103,4726,21.794329242488,
"November 10, 2023",108,4908,22.004889975550,
"November 11, 2023",130,5026,25.865499403104,
"November 12, 2023",141,5217,27.027027027027,
"November 13, 2023",128,4774,26.811897779640,
"November 14, 2023",135,5605,24.085637823372,
"November 15, 2023",117,7284,16.062602965404,
"November 16, 2023",149,6385,23.335943617854,
"November 17, 2023",139,5386,25.807649461567,
"November 18, 2023",144,5313,27.103331451158,
"November 19, 2023",152,5310,28.625235404896,
"November 20, 2023",134,5362,24.990675121223,
"November 21, 2023",108,5381,20.070618844081,
"November 22, 2023",107,4744,22.554806070826,
"November 23, 2023",108,4440,24.324324324324,
"November 24, 2023",80,3871,20.666494445880,
"November 25, 2023",84,3623,23.185205630693,
"November 26, 2023",61,3452,17.670915411356,
"November 27, 2023",57,3175,17.952755905512,
"November 28, 2023",50,3029,16.507098052162,
"November 29, 2023",59,2954,19.972918077183,
"November 30, 2023",56,2955,18.950930626058,
